Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Turkiye,TUR,2021,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,302980000000
Turkiye,TUR,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,244931000000
Turkiye,TUR,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,245813000000
Turkiye,TUR,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,265257000000
Turkiye,TUR,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,270624000000
Turkiye,TUR,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,232916000000
Turkiye,TUR,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,243566000000
Turkiye,TUR,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,280864000000
Turkiye,TUR,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,288689000000
Turkiye,TUR,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,260689000000
Turkiye,TUR,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,264393000000
Turkiye,TUR,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,208733000000
Turkiye,TUR,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,165074000000
Turkiye,TUR,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,227299000000
Turkiye,TUR,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,191673000000
Turkiye,TUR,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,157951000000
Turkiye,TUR,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,132890000000
Turkiye,TUR,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,109884000000
Turkiye,TUR,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,81322000000
Turkiye,TUR,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60295000000
Turkiye,TUR,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,51943000000
Turkiye,TUR,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,67873000000
Turkiye,TUR,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53638000000
Turkiye,TUR,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60103000000
Turkiye,TUR,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,60577000000
Turkiye,TUR,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,53261000000
Turkiye,TUR,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,44806000000
Turkiye,TUR,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,30460000000
Turkiye,TUR,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,37483000000
Turkiye,TUR,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,30204000000
Turkiye,TUR,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,27763000000
Turkiye,TUR,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,28949000000
Turkiye,TUR,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,21367000000
Turkiye,TUR,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,18448000000
Turkiye,TUR,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,17646000000
Turkiye,TUR,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14226000000
Turkiye,TUR,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,14346000000
Turkiye,TUR,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13182000000
Turkiye,TUR,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11629000000
Turkiye,TUR,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,11157000000
Turkiye,TUR,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10513000000
Turkiye,TUR,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,9251000000
Turkiye,TUR,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6192000000
Turkiye,TUR,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5185000000
Turkiye,TUR,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6540000000
Turkiye,TUR,1976,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5690000000
Turkiye,TUR,1975,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5103000000
Turkiye,TUR,1974,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4133000000
Turkiye,TUR,2021,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-13693000000
Turkiye,TUR,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-35537000000
Turkiye,TUR,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,5303000000
Turkiye,TUR,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-21740000000
Turkiye,TUR,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-40877000000
Turkiye,TUR,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-27038000000
Turkiye,TUR,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-27314000000
Turkiye,TUR,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-38851000000
Turkiye,TUR,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-55856000000
Turkiye,TUR,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-47960000000
Turkiye,TUR,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-74402000000
Turkiye,TUR,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-44620000000
Turkiye,TUR,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-11360000000
Turkiye,TUR,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-39425000000
Turkiye,TUR,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-36946000000
Turkiye,TUR,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-31161000000
Turkiye,TUR,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-20980000000
Turkiye,TUR,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-14198000000
Turkiye,TUR,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-7554000000
Turkiye,TUR,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-626000000
Turkiye,TUR,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,3760000000
Turkiye,TUR,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-9920000000
Turkiye,TUR,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-925000000
Turkiye,TUR,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000000000
Turkiye,TUR,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2638000000
Turkiye,TUR,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2437000000
Turkiye,TUR,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2338000000
Turkiye,TUR,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2631000000
Turkiye,TUR,1993,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-6433000000
Turkiye,TUR,1992,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-974000000
Turkiye,TUR,1991,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,250000000
Turkiye,TUR,1990,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2625000000
Turkiye,TUR,1989,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,938000000
Turkiye,TUR,1988,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1596000000
Turkiye,TUR,1987,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-806000000
Turkiye,TUR,1986,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1465000000
Turkiye,TUR,1985,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1013000000
Turkiye,TUR,1984,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1439000000
Turkiye,TUR,1983,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1923000000
Turkiye,TUR,1982,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-952000000
Turkiye,TUR,1981,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1936000000
Turkiye,TUR,1980,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3408000000
Turkiye,TUR,1979,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1413000000
Turkiye,TUR,1978,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1265000000
Turkiye,TUR,1977,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3140000000
Turkiye,TUR,1976,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2029000000
